,fiyat
2019-10-23,17.06
2019-10-24,17.06
2019-10-25,16.71
2019-10-26,16.71
2019-10-27,16.71
2019-10-28,16.71
2019-10-29,16.71
2019-10-30,16.71
2019-10-31,16.71
2019-11-01,16.52
2019-11-02,16.52
2019-11-03,16.52
2019-11-04,16.52
2019-11-05,16.52
2019-11-06,16.52
2019-11-07,16.52
2019-11-08,16.25
2019-11-09,16.25
2019-11-10,16.25
2019-11-11,16.25
2019-11-12,16.25
2019-11-13,16.25
2019-11-14,16.25
2019-11-15,15.82
2019-11-16,15.82
2019-11-17,15.82
2019-11-18,15.82
2019-11-19,15.82
2019-11-20,15.82
2019-11-21,15.82
2019-11-22,15.53
2019-11-23,15.53
2019-11-24,15.53
2019-11-25,15.53
2019-11-26,15.53
2019-11-27,15.53
2019-11-28,15.53
2019-11-29,15.42
2019-11-30,15.42
2019-12-01,15.42
2019-12-02,15.42
2019-12-03,15.42
2019-12-04,15.42
2019-12-05,15.42
2019-12-06,15.4
2019-12-07,15.4
2019-12-08,15.4
2019-12-09,15.4
2019-12-10,15.4
2019-12-11,15.4
2019-12-12,15.4
2019-12-13,15.4
2019-12-14,15.4
2019-12-15,15.4
2019-12-16,15.4
2019-12-17,15.4
2019-12-18,15.4
2019-12-19,15.4
2019-12-20,15.42
2019-12-21,15.42
2019-12-22,15.42
2019-12-23,15.42
2019-12-24,15.42
2019-12-25,15.42
2019-12-26,15.42
2019-12-27,15.45
2019-12-28,15.45
2019-12-29,15.45
2019-12-30,15.45
2019-12-31,15.45
2020-01-01,15.45
2020-01-02,15.45
2020-01-03,15.55
2020-01-04,15.55
2020-01-05,15.55
2020-01-06,15.55
2020-01-07,15.55
2020-01-08,15.55
2020-01-09,15.55
2020-01-10,15.61
2020-01-11,15.61
2020-01-12,15.61
2020-01-13,15.61
2020-01-14,15.61
2020-01-15,15.61
2020-01-16,15.61
2020-01-17,15.7
2020-01-18,15.7
2020-01-19,15.7
2020-01-20,15.7
2020-01-21,15.7
2020-01-22,15.7
2020-01-23,15.7
2020-01-24,15.7
2020-01-25,15.7
2020-01-26,15.7
2020-01-27,15.7
2020-01-28,15.7
2020-01-29,15.7
2020-01-30,15.7
2020-01-31,15.7
2020-02-01,15.7
2020-02-02,15.7
2020-02-03,15.7
2020-02-04,15.7
2020-02-05,15.7
2020-02-06,15.7
2020-02-07,15.7
2020-02-08,15.7
2020-02-09,15.7
2020-02-10,15.7
2020-02-11,15.7
2020-02-12,15.7
2020-02-13,15.7
2020-02-14,15.7
2020-02-15,15.7
2020-02-16,15.7
2020-02-17,15.7
2020-02-18,15.7
2020-02-19,15.7
2020-02-20,15.7
2020-02-21,15.7
2020-02-22,15.7
2020-02-23,15.7
2020-02-24,15.7
2020-02-25,15.7
2020-02-26,15.7
2020-02-27,15.7
2020-02-28,15.31
2020-02-29,15.31
2020-03-01,15.31
2020-03-02,15.31
2020-03-03,15.31
2020-03-04,15.31
2020-03-05,15.31
2020-03-06,15.1
2020-03-07,15.1
2020-03-08,15.1
2020-03-09,15.1
2020-03-10,15.1
2020-03-11,15.1
2020-03-12,15.1
2020-03-13,15.24
2020-03-14,15.24
2020-03-15,15.24
2020-03-16,15.24
2020-03-17,15.24
2020-03-18,15.24
2020-03-19,15.24
2020-03-20,15.05
2020-03-21,15.05
2020-03-22,15.05
2020-03-23,15.05
2020-03-24,15.05
2020-03-25,15.05
2020-03-26,15.05
2020-03-27,14.82
2020-03-28,14.82
2020-03-29,14.82
2020-03-30,14.82
2020-03-31,14.82
2020-04-01,14.82
2020-04-02,14.82
2020-04-03,14.44
2020-04-04,14.44
2020-04-05,14.44
2020-04-06,14.44
2020-04-07,14.44
2020-04-08,14.44
2020-04-09,14.44
2020-04-10,14.3
2020-04-11,14.3
2020-04-12,14.3
2020-04-13,14.3
2020-04-14,14.3
2020-04-15,14.3
2020-04-16,14.3
2020-04-17,14.48
2020-04-18,14.48
2020-04-19,14.48
2020-04-20,14.48
2020-04-21,14.48
2020-04-22,14.48
2020-04-23,14.48
2020-04-24,14.32
2020-04-25,14.32
2020-04-26,14.32
2020-04-27,14.32
2020-04-28,14.32
2020-04-29,14.32
2020-04-30,14.25
2020-05-01,14.25
2020-05-02,14.25
2020-05-03,14.25
2020-05-04,14.25
2020-05-05,14.25
2020-05-06,14.25
2020-05-07,14.25
2020-05-08,14.25
2020-05-09,14.25
2020-05-10,14.25
2020-05-11,14.25
2020-05-12,14.25
2020-05-13,14.25
2020-05-14,14.25
2020-05-15,14.25
2020-05-16,14.25
2020-05-17,14.25
2020-05-18,14.25
2020-05-19,14.25
2020-05-20,14.25
2020-05-21,14.25
2020-05-22,14.4
2020-05-23,14.4
2020-05-24,14.4
2020-05-25,14.4
2020-05-26,14.4
2020-05-27,14.4
2020-05-28,14.4
2020-05-29,14.48
2020-05-30,14.48
2020-05-31,14.48
2020-06-01,14.48
2020-06-02,14.48
2020-06-03,14.48
2020-06-04,14.48
2020-06-05,14.74
2020-06-06,14.74
2020-06-07,14.74
2020-06-08,14.74
2020-06-09,14.74
2020-06-10,14.74
2020-06-11,14.74
2020-06-12,15.4
2020-06-13,15.4
2020-06-14,15.4
2020-06-15,15.4
2020-06-16,15.4
2020-06-17,15.4
2020-06-18,15.4
2020-06-19,15.3
2020-06-20,15.3
2020-06-21,15.3
2020-06-22,15.3
2020-06-23,15.3
2020-06-24,15.2
2020-06-25,15.2
2020-06-26,15.2
2020-06-27,15.2
2020-06-28,15.2
2020-06-29,15.2
2020-06-30,15.2
2020-07-01,15.2
2020-07-02,15.2
2020-07-03,15.04
2020-07-04,15.04
2020-07-05,15.04
2020-07-06,15.04
2020-07-07,15.04
2020-07-08,15.04
2020-07-09,15.04
2020-07-10,14.79
2020-07-11,14.79
2020-07-12,14.79
2020-07-13,14.79
2020-07-14,14.79
2020-07-15,14.79
2020-07-16,14.79
2020-07-17,14.6
2020-07-18,14.6
2020-07-19,14.6
2020-07-20,14.6
2020-07-21,14.6
2020-07-22,14.6
2020-07-23,14.6
2020-07-24,14.47
2020-07-25,14.47
2020-07-26,14.47
2020-07-27,14.47
2020-07-28,14.47
2020-07-29,14.47
2020-07-30,14.47
2020-07-31,14.35
2020-08-01,14.35
2020-08-02,14.35
2020-08-03,14.35
2020-08-04,14.35
2020-08-05,14.35
2020-08-06,14.35
2020-08-07,14.35
2020-08-08,14.35
2020-08-09,14.35
2020-08-10,14.35
2020-08-11,14.35
2020-08-12,14.35
2020-08-13,14.35
2020-08-14,14.84
2020-08-15,14.84
2020-08-16,14.84
2020-08-17,14.84
2020-08-18,14.84
2020-08-19,14.84
2020-08-20,14.84
2020-08-21,15.15
2020-08-22,15.15
2020-08-23,15.15
2020-08-24,15.15
2020-08-25,15.15
2020-08-26,15.15
2020-08-27,15.15
2020-08-28,15.33
2020-08-29,15.33
2020-08-30,15.33
2020-08-31,15.33
2020-09-01,15.33
2020-09-02,15.33
2020-09-03,15.33
2020-09-04,15.53
2020-09-05,15.53
2020-09-06,15.53
2020-09-07,15.53
2020-09-08,15.53
2020-09-09,15.53
2020-09-10,15.53
2020-09-11,15.53
2020-09-12,15.53
2020-09-13,15.53
2020-09-14,15.53
2020-09-15,15.53
2020-09-16,15.53
2020-09-17,15.53
2020-09-18,15.49
2020-09-19,15.49
2020-09-20,15.49
2020-09-21,15.49
2020-09-22,15.49
2020-09-23,15.49
2020-09-24,15.49
2020-09-25,15.93
2020-09-26,15.93
2020-09-27,15.93
2020-09-28,15.93
2020-09-29,15.93
2020-09-30,15.93
2020-10-01,15.93
2020-10-02,16.25
2020-10-03,16.25
2020-10-04,16.25
2020-10-05,16.25
2020-10-06,16.25
2020-10-07,16.25
2020-10-08,16.25
2020-10-09,16.25
2020-10-10,16.25
2020-10-11,16.25
2020-10-12,16.25
2020-10-13,16.25
2020-10-14,16.25
2020-10-15,16.25
2020-10-16,17.45
2020-10-17,17.45
2020-10-18,17.45
2020-10-19,17.45
2020-10-20,17.45
2020-10-21,17.45
2020-10-22,17.45
2020-10-23,18.0
2020-10-24,18.0
2020-10-25,18.0
2020-10-26,18.0
2020-10-27,18.0
2020-10-28,18.0
2020-10-29,18.0
2020-10-30,18.41
2020-10-31,18.41
2020-11-01,18.41
2020-11-02,18.41
2020-11-03,18.41
2020-11-04,18.41
2020-11-05,18.41
2020-11-06,19.63
2020-11-07,19.63
2020-11-08,19.63
2020-11-09,19.63
2020-11-10,19.63
2020-11-11,19.63
2020-11-12,19.63
2020-11-13,22.5
2020-11-14,22.5
2020-11-15,22.5
2020-11-16,22.5
2020-11-17,22.5
2020-11-18,22.5
2020-11-19,22.5
2020-11-20,25.0
2020-11-21,25.0
2020-11-22,25.0
2020-11-23,25.0
2020-11-24,25.0
2020-11-25,25.0
2020-11-26,25.0
2020-11-27,25.86
2020-11-28,25.86
2020-11-29,25.86
2020-11-30,25.86
2020-12-01,25.86
2020-12-02,25.86
2020-12-03,25.86
2020-12-04,25.58
2020-12-05,25.58
2020-12-06,25.58
2020-12-07,25.58
2020-12-08,25.58
2020-12-09,25.58
2020-12-10,25.58
2020-12-11,24.88
2020-12-12,24.88
2020-12-13,24.88
2020-12-14,24.88
2020-12-15,24.88
2020-12-16,24.88
2020-12-17,24.88
2020-12-18,23.05
2020-12-19,23.05
2020-12-20,23.05
2020-12-21,23.05
2020-12-22,23.05
2020-12-23,23.05
2020-12-24,23.05
2020-12-25,22.03
2020-12-26,22.03
2020-12-27,22.03
2020-12-28,22.03
2020-12-29,22.03
2020-12-30,22.03
2020-12-31,21.188
2021-01-01,21.188
2021-01-02,21.188
2021-01-03,21.188
2021-01-04,21.188
2021-01-05,21.188
2021-01-06,21.188
2021-01-07,21.188
2021-01-08,21.2
2021-01-09,21.2
2021-01-10,21.2
2021-01-11,21.2
2021-01-12,21.2
2021-01-13,21.2
2021-01-14,21.2
2021-01-15,21.08
