Year,Date,fiyat
2019,7-22-2019,1836
2019,7-29-2019,1799
2019,8-5-2019,1772
2019,8-12-2019,1776.5
2019,8-19-2019,1795
2019,8-26-2019,1778
2019,9-2-2019,1745
2019,9-9-2019,1796.5
2019,9-16-2019,1805
2019,9-23-2019,1778
2019,9-30-2019,1722.5
2019,10-7-2019,1720
2019,10-14-2019,1716
2019,10-21-2019,1742
2019,10-28-2019,1732
2019,11-4-2019,1782
2019,11-11-2019,1804.5
2019,11-18-2019,1755
2019,11-25-2019,1744.5
2019,12-2-2019,1761
2019,12-9-2019,1763
2019,12-16-2019,1763.5
2019,12-23-2019,1770.5
2019,12-30-2019,1791
2020,1-6-2020,1822
2020,1-13-2020,1766.5
2020,1-20-2020,1796
2020,1-27-2020,1775.5
2020,2-3-2020,1719
2020,2-10-2020,1693.5
2020,2-17-2020,1704.5
2020,2-24-2020,1677
2020,3-2-2020,1663
2020,3-9-2020,1687
2020,3-16-2020,1677
2020,3-23-2020,1580.5
2020,3-30-2020,1506
2020,4-6-2020,1452
2020,4-13-2020,1428.5
2020,4-20-2020,1451.5
2020,4-27-2020,1473
2020,5-4-2020,1437
2020,5-11-2020,1454.5
2020,5-18-2020,1432.5
2020,5-25-2020,1498.5
2020,6-1-2020,1515
2020,6-8-2020,1553.5
2020,6-15-2020,1546
2020,6-22-2020,1578
2020,6-29-2020,1589
2020,7-6-2020,1593
2020,7-13-2020,1664.5
2020,7-20-2020,1658
2020,7-27-2020,1700.5
2020,8-3-2020,1718.5
2020,8-10-2020,1744
2020,8-17-2020,1719.5
2020,8-24-2020,1735.5
2020,8-31-2020,1762
2020,9-7-2020,1763
2020,9-14-2020,1749
2020,9-21-2020,1745
2020,9-28-2020,1772
2020,10-5-2020,1705
2020,10-12-2020,1829.5
2020,10-19-2020,1848
2020,10-26-2020,1829
2020,11-2-2020,1820.5
2020,11-9-2020,1891.5
2020,11-16-2020,1918
2020,11-23-2020,1969.5
2020,11-30-2020,2014.5
2020,12-7-2020,2018.5
2020,12-14-2020,2054
2020,12-21-2020,2023.5
2020,12-28-2020,2022
2021,1-4-2021,2016
2021,1-11-2021,2008
2021,1-18-2021,2000.5
2021,1-25-2021,1975.5
2021,2-1-2021,1987
2021,2-8-2021,2007.5
2021,2-15-2021,2076
2021,2-22-2021,2135
2021,3-1-2021,2203
2021,3-8-2021,2152.5
2021,3-15-2021,2139
2021,3-22-2021,2188
2021,3-29-2021,2255.5
2021,4-5-2021,2247
2021,4-12-2021,2254
2021,4-19-2021,2331
2021,4-26-2021,2388
2021,5-3-2021,2445
2021,5-10-2021,2565
2021,5-17-2021,2455
2021,5-24-2021,2305
2021,5-31-2021,2404.5
2021,6-7-2021,2417.5
2021,6-14-2021,2504
2021,6-21-2021,2353.5
2021,6-28-2021,2458
2021,7-5-2021,2539.5
2021,7-12-2021,2449
2021,7-19-2021,2425
2021,7-26-2021,2499.5
2021,8-2-2021,2635
2021,8-9-2021,2547
2021,8-16-2021,2644
2021,8-23-2021,2609
2021,8-30-2021,2714
2021,9-6-2021,2745
2021,9-13-2021,2949
2021,9-20-2021,2846.5
2021,9-27-2021,2887.5
2021,10-4-2021,2888
2021,10-11-2021,3019
2021,10-18-2021,3179.5
2021,10-25-2021,2916.5
2021,11-1-2021,2712.5
2021,11-8-2021,2530
2021,11-15-2021,2677.5
2021,11-22-2021,2653
2021,11-29-2021,2649
2021,12-6-2021,2599.5
2021,12-13-2021,2675
2021,12-20-2021,2645
2021,12-27-2021,2834.5
2022,1-3-2022,2805.5
2022,1-10-2022,2922
2022,1-17-2022,3008
2022,1-24-2022,3044
2022,1-31-2022,3074
2022,2-7-2022,3147.5
2022,2-14-2022,3305
2022,2-21-2022,3313
2022,2-28-2022,3448
2022,3-7-2022,3983.5
2022,3-14-2022,3398
2022,3-21-2022,3517
2022,3-28-2022,3604
2022,4-4-2022,3443.5
2022,4-11-2022,3233.5
2022,4-18-2022,3310
2022,4-25-2022,3089
2022,5-2-2022,2911
2022,5-9-2022,2707
2022,5-16-2022,2790
2022,5-23-2022,2962
