Date,Price,Open,High,Low,Vol.,Change 
01/29/2017,87.9428,87.8392,88.9057,86.9950,,-0.04
01/22/2017,87.9770,88.6884,89.2642,87.6169,,-0.45
01/15/2017,88.3760,88.7808,89.4727,87.8827,,-0.19
01/08/2017,88.5432,87.3602,88.7107,86.3214,,1.35
01/01/2017,87.3673,87.3407,87.8524,86.0015,,-0.17
12/25/2016,87.5144,86.6013,88.0116,86.5900,,1.42
12/18/2016,86.2910,87.2101,87.3281,85.8434,,-0.97
12/11/2016,87.1333,88.8003,88.8570,86.4639,,-1.15
12/04/2016,88.1431,87.1906,89.0919,86.9276,,1.27
11/27/2016,87.0416,85.7094,87.2118,84.1639,,2.36
11/20/2016,85.0319,83.7611,85.7358,83.7611,,2.42
11/13/2016,83.0220,82.8082,83.5159,81.7879,,0.78
11/06/2016,82.3754,83.6961,85.0822,82.1604,,-1.10
10/30/2016,83.2943,85.8732,86.0078,82.9460,,-3.05
10/23/2016,85.9119,86.0994,86.7150,85.2747,,-0.22
10/16/2016,86.1053,86.2569,87.0755,85.7167,,-0.27
10/09/2016,86.3405,85.4909,86.9271,85.3275,,0.82
10/02/2016,85.6414,85.2808,86.1013,84.6232,,0.35
09/25/2016,85.3420,84.4621,85.6396,83.7076,,1.21
09/18/2016,84.3221,83.7395,86.0463,83.4849,,1.31
09/11/2016,83.2357,83.4562,84.4240,82.4097,,-0.94
09/04/2016,84.0242,83.3140,85.1988,82.6284,,1.25
08/28/2016,82.9889,84.7034,84.7294,82.0268,,-2.35
08/21/2016,84.9846,85.9270,86.1451,84.6000,,-1.45
08/14/2016,86.2364,84.3788,86.8283,84.2415,,2.59
08/07/2016,84.0555,83.8852,84.4899,82.9079,,0.24
07/31/2016,83.8543,84.1692,84.3512,82.4494,,-0.51
07/24/2016,84.2809,84.5809,84.7513,82.8144,,-0.42
07/17/2016,84.6352,86.7721,86.9018,84.0449,,-2.38
07/10/2016,86.6984,86.6364,88.1866,86.0238,,0.34
07/03/2016,86.4023,89.0808,89.2302,85.3940,,-3.65
06/26/2016,89.6788,87.1365,89.7142,86.4314,,3.13
06/19/2016,86.9557,88.7628,89.5345,86.4474,,-1.99
06/12/2016,88.7212,89.0670,89.5810,87.2173,,-0.25
06/05/2016,88.9427,87.7802,90.3087,87.6962,,2.07
05/29/2016,87.1411,85.5389,87.6479,84.6756,,1.96
05/22/2016,85.4675,84.8034,85.9365,83.8851,,0.71
05/15/2016,84.8666,84.6181,85.8859,83.7232,,0.47
05/08/2016,84.4663,83.5685,85.1344,81.6697,,1.29
05/01/2016,83.3930,85.3387,85.5653,82.4591,,-2.49
04/24/2016,85.5205,82.7818,85.7885,82.4404,,2.97
04/17/2016,83.0537,79.6985,85.0733,79.3370,,3.31
04/10/2016,80.3927,79.0063,81.4471,78.6552,,1.73
04/03/2016,79.0288,77.8009,79.0592,76.7958,,1.39
03/27/2016,77.9417,79.3090,80.0230,77.5657,,-1.65
03/20/2016,79.2517,80.5809,81.2491,78.6795,,-1.86
03/13/2016,80.7557,79.8551,81.5700,78.5470,,1.01
03/06/2016,79.9471,78.4541,80.2161,78.2457,,2.00
02/28/2016,78.3828,75.4827,78.4249,75.2132,,3.87
02/21/2016,75.4617,75.3290,76.6447,74.6280,,0.47
02/14/2016,75.1058,75.7923,76.3674,74.5716,,-0.44
02/07/2016,75.4389,75.7665,76.1341,73.7065,,-0.21
01/31/2016,75.5965,76.5692,77.1573,74.5090,,-2.11
01/24/2016,77.2234,75.3719,77.2516,73.9379,,2.64
01/17/2016,75.2355,73.7005,75.4797,72.3315,,2.38
01/10/2016,73.4877,76.3847,76.4085,73.3405,,-4.22
01/03/2016,76.7265,78.6714,79.0508,75.7032,,-2.33
12/27/2015,78.5588,78.4465,79.0982,77.8238,,0.09
12/20/2015,78.4851,77.3976,78.5859,77.1383,,1.33
12/13/2015,77.4523,78.2360,78.2787,76.1606,,-1.24
12/06/2015,78.4224,81.4476,81.6073,78.3612,,-4.01
11/29/2015,81.7016,81.0571,81.9386,80.2337,,0.75
11/22/2015,81.0962,80.6600,82.5640,80.1942,,-0.40
11/15/2015,81.4234,82.8778,82.9174,81.1224,,-1.22
11/08/2015,82.4332,85.4989,85.6307,82.2446,,-3.29
11/01/2015,85.2346,87.2331,88.1274,84.9074,,-2.51
10/25/2015,87.4289,87.4303,87.7589,86.4735,,-0.02
